id,split,rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,upper,player_name,relabel_hit_area,relabel_landing_area,pre_ball_speed,player_movement,hitting_ball_speed,opponent_movement,score
game1_set1_16364,train,1,1,00:10:54,16364,0,1,A,1,發短球,,1.0,2.0,,0.3272,-0.4388,2.0,7.0,0.1826,-0.0357,,,,,8.0,0.3272,-0.4388,8.0,-0.0394,0.5816,0,1,Kento Momota,8.0,7.0,0.0,0.0,0.171812627889278,0.3044340474041703,0.1103898713747615
game1_set1_16381,train,1,2,00:10:55,16381,0,1,B,2,挑球,,1.0,2.0,7.0,0.1826,-0.0357,1.0,4.0,0.7518,0.9296,,,,,7.0,0.2791,-0.0775,8.0,0.058,0.6008,0,0,Viktor Axelsen,7.0,1.0,0.2420546009753429,0.4573822369682178,0.3015746065282145,0.6086367060005019,0.3666294665453982
game1_set1_16411,train,1,3,00:10:56,16411,0,1,A,2,過度切球,,,1.0,4.0,0.7518,0.9296,2.0,2.0,0.5201,-0.1508,,,,,4.0,0.2094,-0.4284,8.0,0.5526,0.9123,0,1,Kento Momota,4.0,2.0,0.3719435745068123,0.3144015925555389,0.5218830999281195,0.2381821459150105,0.3589511801065622
game1_set1_16429,train,1,4,00:10:57,16429,0,1,B,2,放小球,,,2.0,2.0,0.6737,-0.1455,2.0,2.0,0.9103,0.4337,,,,,6.0,0.4744,-0.3184,8.0,0.3424,0.8603,0,0,Viktor Axelsen,1.0,1.0,0.5779374756777793,0.7042710328682877,0.1967494871843059,0.2785230085004124,0.3290831171533531
game1_set1_16452,train,1,5,00:10:58,16452,0,1,A,2,挑球,,,2.0,2.0,0.9103,0.4337,1.0,4.0,0.7335,-0.8524,,,,,6.0,0.3638,-0.3079,8.0,0.7283,0.5375,0,1,Kento Momota,2.0,2.0,0.2670158653680697,0.3739580732947184,0.3230328141019926,0.2691704235755583,0.255552455961089
game1_set1_16485,train,1,6,00:10:59,16485,0,1,B,2,過度切球,,,1.0,4.0,0.7335,-0.8524,2.0,1.0,-0.6933,0.4666,,,,,4.0,0.6646,-0.9048,8.0,0.3249,0.7565,0,0,Viktor Axelsen,3.0,2.0,0.3934227827064546,0.5196508512945974,0.8739878806425844,0.9974692232432312,0.7883567457866683
game1_set1_16505,train,1,7,00:11:00,16505,0,1,A,2,放小球,,1.0,2.0,1.0,-0.6933,0.4666,2.0,1.0,-0.5043,-0.0097,,,,,8.0,0.3361,-0.5697,8.0,-0.5,0.5643,0,1,Kento Momota,1.0,1.0,0.9449170555708069,0.6351578009180137,0.1319593644835417,0.7587326325562885,0.6256451267961055
game1_set1_16530,train,1,8,00:11:01,16530,0,1,B,2,挑球,,1.0,2.0,1.0,-0.5043,-0.0097,1.0,9.0,0.5015,0.9238,,,,,1.0,-0.3909,-0.0567,8.0,-0.2702,0.5989,0,0,Viktor Axelsen,2.0,1.0,0.2021623341499888,0.2793915079593594,0.283889798709639,0.4193397556900778,0.2730538748508596
game1_set1_16569,train,1,9,00:11:02,16569,0,1,A,2,過度切球,,,1.0,9.0,0.5015,0.9238,2.0,1.0,-0.5677,-0.1195,,,,,9.0,0.1487,-0.376,8.0,0.4698,0.9469,0,1,Kento Momota,4.0,1.0,0.3542414589969396,0.2666694414238761,0.5668893568256963,0.0595961407410063,0.3016090197919114
game1_set1_16592,train,1,10,00:11:03,16592,0,1,B,2,挑球,,1.0,2.0,1.0,-0.5677,-0.1195,1.0,4.0,0.716,0.9584,,,,,1.0,-0.4567,-0.156,8.0,-0.0215,0.8633,0,0,Viktor Axelsen,2.0,1.0,0.6375179818976495,0.7832955391354106,0.3732366937548214,0.0640330582189495,0.3372619925720612
