question_type,hit@1,exact_match,precision,recall,f1,impossible_accuracy,agg_metrics,total_answerable,total_impossible,total_records
back_court,87.1,84.95,89.77,91.58,90.49,80.56,90.49,93,108,201
bottom_player_counter_attack,87.32,85.92,86.38,86.38,86.38,92.96,86.38,71,71,142
flat_shot_sequence,88.89,55.56,86.11,85.19,84.63,100.0,84.63,18,18,36
four_corner,90.0,90.0,98.0,100.0,98.89,100.0,98.89,10,12,22
hit_area_only,88.03,59.08,87.32,83.11,83.77,79.08,83.77,1195,502,1697
net_shot,79.43,75.0,80.49,80.26,80.12,93.68,80.12,316,190,506
player_stroke,92.49,86.78,92.65,91.33,91.49,96.21,91.49,1331,501,1832
player_stroke_area,85.33,81.9,85.55,85.11,84.96,97.33,84.96,1254,487,1741
stroke_only,92.76,82.24,92.64,91.8,91.51,93.29,91.51,1216,507,1723
upper_player_counter_attack,84.51,84.51,85.45,85.45,85.45,92.19,85.45,71,64,135
